-3,1,2:6
-3,3,3:6,-4
-11,-8,7:-4,-14,-8
-11,12,5:-4,-14,14
-3,4,5:6,-4,6
-11,14,6:-4,-14,-12,14
-11,-6,8:-4,-14,-8,10
-13,5,-6:-4,-12,-4,-8
-3,-2,1:-4,-6,-14,-2
-3,1,-3:-4,-6,-4,-6
-3,6,6:6,-4,6,-4
-6,6,14:6,6,16,-16
-6,8,-6:6,6,16,6
-11,15,8:-4,-14,-12,-2,14
-11,-5,10:-4,-14,-8,10,20
-8,6,4:-4,-12,-6,-14,4
-13,7,-5:-4,-12,-4,-8,-16
-3,11,-1:-4,-12,0,-8,2
-3,0,2:-4,-6,-14,-2,-2
-6,-6,7:-4,-6,-14,2,10
-4,0,4:-4,-6,-14,6,4
-8,0,-8:-4,-6,-6,-16,-4
-7,4,-5:-4,-6,-6,-14,4
-3,3,-5:-4,-6,-4,-10,-10
-3,2,-1:-4,-6,-4,-6,2
-3,4,-1:-4,-6,-4,0,0
-14,-14,2:-4,-6,6,-2,-14
-3,11,14:-4,-4,-14,4,-4
-3,7,8:-4,0,-12,-10,2
-7,4,-6:-4,0,-2,-4,8
-3,12,1:-4,0,0,10,12
-3,4,-6:-4,0,4,-4,10
-3,4,-8:-4,0,4,6,-14
-6,4,12:-4,0,6,-2,14
-3,7,-8:-4,4,-10,-2,-14
-3,10,-2:-4,4,-10,2,-4
-3,9,-1:-4,4,-8,-12,2
-8,-5,10:6,-4,-4,-14,-8
-8,15,8:6,-4,-4,-14,14
-6,2,0:6,6,-2,16,4
-6,-2,3:6,6,8,6,8
-6,-5,7:6,6,14,6,10
-6,7,16:6,6,16,-16,14
-6,9,-4:6,6,16,-8,6
-11,17,9:-4,-14,-12,-2,14,-12
-11,-3,11:-4,-14,-8,10,20,10
-15,-3,19:-4,-14,-8,20,30,-2
-15,-1,-1:-4,-14,-8,20,30,20
-11,17,17:-4,-14,14,-2,8,-24
-11,19,-3:-4,-14,14,-2,8,-2
-3,8,7:-4,-12,-14,4,-6,-10
-3,-1,-1:-4,-12,-14,4,6,4
-3,14,-1:-4,-12,-8,-14,-4,-6
-8,7,6:-4,-12,-6,-14,4,4
-5,0,3:-4,-12,-6,-14,8,10
-10,-7,-9:-4,-12,-6,4,-10,-4
-10,-6,-15:-4,-12,-6,4,-4,-2
-13,8,-3:-4,-12,-4,-8,-16,-6
-3,8,3:-4,-12,-4,-4,0,2
-7,0,-4:-4,-12,4,-6,2,-6
-5,5,0:-4,-12,4,6,10,-14
-3,1,4:-4,-6,-14,-2,-2,8
-6,-4,8:-4,-6,-14,2,10,8
-4,1,6:-4,-6,-14,6,4,10
-4,-2,4:-4,-6,-14,6,6,2
-26,2,24:-4,-6,-14,6,12,-2
-3,8,0:-4,-6,-8,-18,-20,-2
-3,6,1:-4,-6,-8,-10,-20,-14
-3,4,-11:-4,-6,-8,-2,-20,-20
-3,10,-1:-4,-6,-8,-2,-12,-20
-8,1,-6:-4,-6,-6,-16,-4,-2
-7,6,-4:-4,-6,-6,-14,-14,4
-9,7,1:-4,-6,-6,-4,2,6
-9,-5,-2:-4,-6,-6,0,-6,6
-7,0,1:-4,-6,-6,4,-10,-2
-7,6,-2:-4,-6,-6,4,-6,-8
-3,4,-3:-4,-6,-4,-10,-10,-2
-3,4,-2:-4,-6,-4,-10,-6,-10
-3,8,-12:-4,-6,-4,-8,-14,-16
-3,3,-3:-4,-6,-4,-8,-12,-4
-3,4,0:-4,-6,-4,-6,2,-8
-3,6,0:-4,-6,-4,0,0,-10
-9,-6,3:-4,-6,0,-8,-20,-14
-9,14,1:-4,-6,0,-8,-20,8
-3,0,-12:-4,-6,0,-2,-30,-10
-4,20,-8:-4,-6,0,-2,-26,-14
-3,20,-8:-4,-6,0,-2,-26,-6
-3,11,-7:-4,-6,6,-8,-20,-2
-17,-13,4:-4,-6,6,-2,-14,22
-13,7,0:-4,-6,6,10,-14,-2
-13,-1,6:-4,-6,6,10,-14,0
-13,-2,5:-4,-6,6,10,-4,0
-3,13,15:-4,-4,-14,4,-4,-2
-3,10,13:-4,-4,-14,10,6,-4
-3,3,11:-4,-4,-8,-12,-14,-4
-3,8,-3:-4,-4,-8,2,8,-8
-3,16,-2:-4,-4,-8,8,-8,-18
-3,5,11:-4,-4,-8,8,-6,-8
-3,14,2:-4,0,-16,0,10,12
-3,9,9:-4,0,-12,-10,2,-4
-3,6,7:-4,0,-12,-10,8,4
-3,8,-14:-4,0,-12,-4,-14,-18
-3,2,6:-4,0,-12,4,6,10
-10,-9,8:-4,0,-12,8,12,12
-3,9,2:-4,0,-8,-10,-4,-4
-4,4,8:-4,0,-8,-10,2,-4
-3,5,5:-4,0,-8,-10,6,0
-3,2,-9:-4,0,-8,-4,-12,-10
-3,7,3:-4,0,-8,-4,2,-14
-8,0,-2:-4,0,-2,-10,4,2
-7,5,-4:-4,0,-2,-4,-4,8
-3,11,3:-4,0,0,10,8,10
-3,9,11:-4,0,2,-2,-14,-10
-3,7,6:-4,0,4,-6,-8,-10
-3,5,-4:-4,0,4,-4,-4,2
-3,10,3:-4,0,4,-4,2,-4
-4,10,2:-4,0,4,-4,2,8
-3,6,-10:-4,0,4,6,-18,-18
-3,5,-6:-4,0,4,6,-14,-6
-3,7,-6:-4,0,4,6,-8,-8
-6,5,14:-4,0,6,-2,14,14
-3,8,8:-4,0,8,4,-4,-10
-4,5,16:-4,2,2,-14,-10,8
-4,1,-4:-4,2,2,-14,-8,6
-3,14,10:-4,2,2,-8,4,-28
-3,16,-10:-4,2,2,-8,4,-6
-13,-10,-4:-4,2,6,10,4,14
-13,-4,6:-4,2,6,10,6,16
-3,9,-7:-4,4,-10,-2,-20,-14
-3,11,0:-4,4,-10,2,-6,-4
-6,9,-3:-4,4,-10,6,6,10
-3,11,-3:-4,4,-8,-16,-16,2
-13,9,4:-4,4,-8,-14,-12,2
-3,10,1:-4,4,-8,-12,-4,2
-3,0,-1:-4,4,-8,-6,0,-16
-6,4,-17:-4,4,-4,-26,-10,-16
-6,6,-18:-4,4,-4,-22,-22,-16
-6,9,-10:-4,4,-4,-16,-26,-26
-6,11,-16:-4,4,-4,-12,-10,-40
-5,9,4:-4,4,-2,-8,0,-16
-4,9,4:-4,4,-2,-8,0,-12
-3,6,14:-4,4,4,-6,2,8
-3,4,-5:-4,4,4,6,-14,8
-3,6,12:-4,4,6,4,-8,0
-8,17,9:6,-4,-4,-14,-12,14
-8,-3,11:6,-4,-4,-14,10,-8
-3,9,17:6,-4,6,6,16,-16
-6,5,2:6,6,-2,-4,16,-2
-6,0,11:6,6,-2,10,0,14
-6,-1,12:6,6,-2,12,0,6
-9,-7,9:6,6,-2,12,4,16
-6,8,-4:6,6,-2,16,0,-8
-6,3,2:6,6,-2,16,4,4
-6,2,14:6,6,2,-6,-10,-12
-6,13,6:6,6,2,-4,4,-12
-6,-5,6:6,6,2,-2,-8,6
-8,-7,6:6,6,2,-2,-4,16
-6,15,13:6,6,6,-2,6,6
-6,3,-12:6,6,8,-4,4,8
-6,0,6:6,6,8,6,2,2
-6,-4,5:6,6,8,6,12,12
-7,-7,2:6,6,8,8,14,6
-8,-4,6:6,6,8,8,16,-2
-6,0,13:6,6,14,2,10,0
-8,-4,9:6,6,14,6,10,18
-8,5,8:6,6,14,8,16,-2
-11,18,11:-4,-14,-12,-2,14,-12,-2
-11,6,13:-4,-14,-12,14,-12,-22,-16
-11,26,11:-4,-14,-12,14,-12,-22,6
-17,-14,15:-4,-14,-8,10,10,0,6
-11,-2,13:-4,-14,-8,10,20,10,20
-15,-7,5:-4,-14,-8,20,12,30,18
-15,-11,8:-4,-14,-8,20,22,20,22
-15,-14,12:-4,-14,-8,20,28,20,24
-15,-2,21:-4,-14,-8,20,30,-2,28
-11,13,3:-4,-14,14,-2,-10,8,-4
-11,9,6:-4,-14,14,-2,0,-2,0
-11,6,10:-4,-14,14,-2,6,-2,2
-11,18,19:-4,-14,14,-2,8,-24,6
-11,20,-1:-4,-14,14,-2,8,-16,-2
-5,5,-2:-4,-12,-14,-4,-6,-18,-2
-5,6,4:-4,-12,-14,-4,-6,-14,-18
-5,15,-2:-4,-12,-14,-4,-6,-14,-4
-5,14,-3:-4,-12,-14,-4,-6,-10,-2
-3,10,8:-4,-12,-14,4,-6,-10,-6
-3,-2,-1:-4,-12,-8,-18,-20,-4,2
-7,-5,1:-4,-12,-8,-14,-14,2,8
-3,9,4:-4,-12,-8,-14,-10,-6,-14
-3,4,6:-4,-12,-8,-14,-10,-2,-14
-10,-2,-14:-4,-12,-8,-14,-6,-24,0
-9,2,-2:-4,-12,-8,-14,-6,-16,-6
-7,-4,-2:-4,-12,-8,-14,-6,-8,-16
-3,16,0:-4,-12,-8,-14,-4,-6,-20
-3,12,3:-4,-12,-8,-14,0,-14,-16
-4,10,-3:-4,-12,-8,-14,0,-8,-20
-9,2,-5:-4,-12,-6,-16,-6,-8,8
-5,5,-7:-4,-12,-6,-16,-4,-6,-2
-7,8,5:-4,-12,-6,-16,-4,-2,4
