0,2,2:-4
-1,3,4:-4,6
-7,7,-7:6,16,10
-7,5,13:6,16,-12
-1,5,5:-4,6,-4
-7,6,15:6,16,14,-12
-7,8,-5:6,16,10,-8
-7,-6,6:6,14,6,10
-8,1,-1:6,8,16,4
-7,-3,2:6,8,6,8
-1,6,7:-4,6,-4,6
-10,14,7:-4,-4,-14,18
-9,14,7:-4,-4,-14,16
-9,-6,9:-4,-4,-14,-4
-7,8,16:6,16,14,4,-12
-7,10,-4:6,16,10,-8,-18
-9,4,7:6,14,8,16,-2
-9,-5,8:6,14,6,10,18
-7,-1,12:6,14,2,10,0
-8,2,1:6,8,16,4,4
-8,7,-5:6,8,16,0,-8
-8,4,1:6,8,16,-4,-2
-8,-8,1:6,8,8,18,6
-9,-5,5:6,8,8,16,-2
-7,-5,4:6,8,6,12,12
-7,-1,3:6,8,6,8,0
-7,-1,5:6,8,6,2,2
-7,2,-13:6,8,-4,4,16
-7,4,1:6,8,-4,-2,6
-8,14,12:6,6,16,-2,6
-7,14,12:6,6,-2,6,6
-7,8,8:6,2,14,12,0
-7,-6,5:6,2,4,6,-6
-7,1,13:6,2,2,-8,-10
-9,-8,5:6,2,-2,-4,16
-7,12,5:6,2,-4,4,-12
-10,-8,8:6,-2,12,4,16
-7,-2,11:6,-2,12,0,6
-7,-1,10:6,-2,10,14,0
-4,10,-4:-4,6,6,16,10
-4,8,16:-4,6,6,16,-12
-1,8,8:-4,6,-4,6,-4
-1,0,3:-4,-4,4,-14,-2
-1,3,-1:-4,-4,-6,-4,-6
-11,7,-4:-4,-4,-12,-4,-8
-10,16,8:-4,-4,-14,18,-12
-9,-4,10:-4,-4,-14,10,-4
-9,16,8:-4,-4,-14,-12,16
-7,9,18:6,16,14,4,-12,14
-7,11,-2:6,16,10,-8,-18,-8
-7,19,-2:6,16,10,-18,-28,4
-7,-1,0:6,16,10,-18,-28,-18
-7,17,18:6,16,-12,4,-6,26
-7,-3,20:6,16,-12,4,-6,4
-8,7,9:6,14,16,-2,8,12
-14,-1,15:6,14,10,16,6,8
-9,6,8:6,14,8,16,-2,-2
-9,3,1:6,14,8,16,-6,-8
-21,-9,-6:6,14,8,-2,12,6
-21,-15,-5:6,14,8,-2,6,4
-9,-3,9:6,14,6,10,18,8
-7,3,9:6,14,6,6,2,0
-10,-4,1:6,14,-2,8,0,8
-10,0,6:6,14,-2,-4,-8,16
-8,4,2:6,8,16,4,4,-6
-8,8,-3:6,8,16,0,-8,-6
-8,6,2:6,8,16,-4,-2,-8
-8,4,-1:6,8,16,-4,-4,0
-8,24,3:6,8,16,-4,-10,4
-12,0,9:6,8,10,20,22,4
-12,1,7:6,8,10,12,22,16
-13,-11,5:6,8,10,4,22,22
-12,-1,11:6,8,10,4,14,22
-8,-6,2:6,8,8,18,6,4
-9,-4,7:6,8,8,16,16,-2
-15,1,8:6,8,8,6,0,-4
-8,-2,-4:6,8,8,2,8,-4
-9,1,1:6,8,8,-2,12,4
-8,-2,7:6,8,8,-2,8,10
-7,-3,5:6,8,6,12,12,4
-8,-2,5:6,8,6,12,8,12
-12,-12,9:6,8,6,10,16,18
-8,-3,4:6,8,6,10,14,6
-7,0,5:6,8,6,8,0,10
-7,0,7:6,8,6,2,2,12
-11,3,-5:6,8,2,10,22,16
-11,1,15:6,8,2,10,22,-6
-17,-12,1:6,8,2,4,32,12
-17,-8,21:6,8,2,4,28,16
-11,-7,12:6,8,-4,10,22,4
-7,4,-12:6,8,-4,4,16,-20
-7,6,2:6,8,-4,-2,-8,6
-7,4,-1:6,8,-4,-4,0,6
-12,0,8:6,8,-4,-8,16,4
-12,6,0:6,8,-4,-8,16,2
-12,5,-1:6,8,-4,-8,6,2
-8,15,14:6,6,16,-2,6,4
-8,13,11:6,6,16,-8,-4,6
-11,11,4:6,6,10,14,16,6
-11,-2,17:6,6,10,-6,10,20
-11,11,6:6,6,10,-6,8,10
-7,15,14:6,6,-2,6,4,6
-7,13,11:6,6,-8,-4,6,6
-7,2,15:6,2,18,2,-8,-10
-7,9,10:6,2,14,12,0,6
-7,7,7:6,2,14,12,-6,-2
-14,-14,9:6,2,14,6,16,20
-7,6,3:6,2,14,-2,-4,-8
-7,8,-8:6,2,14,-6,-10,-10
-7,2,10:6,2,10,12,6,6
-7,8,5:6,2,10,12,0,6
-7,5,6:6,2,10,12,-4,2
-9,-9,3:6,2,10,6,14,12
-7,3,8:6,2,10,6,0,16
-7,-2,1:6,2,4,12,-2,0
-7,7,-4:6,2,4,12,-4,-12
-7,-4,6:6,2,4,6,6,-6
-7,3,12:6,2,2,-8,-6,-8
-7,11,10:6,2,0,4,16,12
-7,6,8:6,2,-2,8,10,12
-7,3,11:6,2,-2,6,0,6
-7,2,11:6,2,-2,6,0,-6
-11,-10,7:6,2,-2,-4,20,20
-9,-6,8:6,2,-2,-4,10,10
-7,14,6:6,2,-4,4,-12,-12
-7,8,9:6,2,-6,-2,6,12
-7,16,6:6,0,0,16,12,-6
-7,-4,2:6,0,0,16,10,-4
-14,10,15:6,0,0,10,-2,30
-13,10,15:6,0,0,10,-2,28
-13,-10,17:6,0,0,10,-2,8
-12,-4,-9:6,0,-4,-8,-2,-12
-12,6,-3:6,0,-4,-8,-4,-14
-7,0,9:6,-2,12,14,14,0
-11,-7,10:6,-2,12,4,22,16
-7,0,12:6,-2,12,0,8,6
-7,-3,10:6,-2,12,-4,-4,-8
-7,-3,12:6,-2,10,18,18,0
-10,4,10:6,-2,10,16,14,0
-7,1,11:6,-2,10,14,6,0
-7,-1,1:6,-2,10,8,2,18
-7,11,4:6,-2,10,-4,6,0
-19,-17,5:6,-2,6,28,12,18
-19,-18,7:6,-2,6,24,24,18
-22,-10,10:6,-2,6,18,28,28
-30,-16,12:6,-2,6,14,12,42
-7,1,-1:6,-2,4,14,4,16
-8,4,10:6,-2,4,10,2,18
-7,4,10:6,-2,4,10,2,14
-7,14,7:6,-2,-2,8,0,-6
-7,-5,5:6,-2,-2,-4,16,-6
-8,12,7:6,-2,-4,-2,10,2
-4,9,18:-4,6,6,16,14,-12
-4,11,-2:-4,6,6,16,-8,10
-4,-3,9:-4,6,6,14,6,10
-5,4,2:-4,6,6,8,16,4
-4,0,5:-4,6,6,8,6,8
-7,17,10:-4,6,-4,-4,-14,18
-6,17,10:-4,6,-4,-4,-14,16
-6,-3,12:-4,6,-4,-4,-14,-4
-2,2,6:-4,-4,4,6,-14,4
-1,11,1:-4,-4,4,-8,2,-12
-1,12,0:-4,-4,4,-10,2,-4
-1,9,-6:-4,-4,4,-10,-2,-14
-4,-4,9:-4,-4,4,-14,2,10
-1,2,4:-4,-4,4,-14,-2,-2
-7,14,3:-4,-4,0,8,12,14
-4,6,14:-4,-4,0,6,-2,14
-6,14,3:-4,-4,0,6,-2,10
-1,6,-4:-4,-4,0,4,10,-4
-1,6,-6:-4,-4,0,4,6,-14
-1,9,10:-4,-4,0,2,-10,-6
-1,14,3:-4,-4,0,0,10,12
-1,13,16:-4,-4,-4,4,-4,-4
-12,-12,4:-4,-4,-6,6,-2,-6
-1,6,1:-4,-4,-6,-4,0,0
-1,4,1:-4,-4,-6,-4,-6,2
-1,5,-3:-4,-4,-6,-4,-10,-10
-6,2,-6:-4,-4,-6,-6,-12,-4
-5,6,-3:-4,-4,-6,-6,-14,4
-1,13,1:-4,-4,-12,0,-8,2
-11,9,-3:-4,-4,-12,-4,-8,-16
-6,8,6:-4,-4,-12,-6,-14,4
-7,11,19:6,16,14,4,-12,14,4
-7,13,7:6,16,14,-12,14,24,18
-7,11,27:6,16,14,-12,14,24,-4
-7,15,-13:6,16,10,-8,-8,2,-4
-7,13,-1:6,16,10,-8,-18,-8,-18
-7,5,-6:6,16,10,-18,-10,-28,-16
-7,8,-10:6,16,10,-18,-20,-18,-20
-7,12,-13:6,16,10,-18,-26,-18,-22
-7,21,-1:6,16,10,-18,-28,4,-26
-7,1,1:6,16,10,-18,-28,-4,-18
-7,3,14:6,16,-12,4,12,-6,6
-7,6,10:6,16,-12,4,2,4,2
-8,10,7:6,16,-12,4,-4,4,0
-7,19,19:6,16,-12,4,-6,26,-4
-7,-1,21:6,16,-12,4,-6,18,4
-12,-2,6:6,14,16,6,8,20,4
-12,-2,16:6,14,16,6,8,16,6
-12,-3,15:6,14,16,6,8,12,4
-8,8,11:6,14,16,-2,8,12,8
-12,-1,-1:6,14,10,20,22,6,0
-11,-1,-1:6,14,10,20,6,0,12
-11,1,-4:6,14,10,16,16,0,-6
-11,6,5:6,14,10,16,12,4,16
-18,-14,-1:6,14,10,16,8,26,2
-19,-2,3:6,14,10,16,8,18,8
